Driver,SpeedBin,G_mean,G_std,count
SAI,130.0,1.2870807977841612,0.33019110470684976,15
SAI,140.0,1.1435217857236195,0.4096254736152707,83
SAI,150.0,1.27420998980632,0.4329797679039451,164
SAI,160.0,1.1798240646354818,0.41396939993738624,254
SAI,170.0,1.132631102050062,0.4155198581574031,379
SAI,180.0,1.0618416581719319,0.37382261792726007,446
SAI,190.0,0.9438592517083849,0.3538089642558287,531
SAI,200.0,0.8494733265375491,0.30704856933446933,605
SAI,210.0,0.7078944387812893,0.2796817327912583,696
SAI,220.0,0.606766661812535,0.25060609316738885,835
SAI,230.0,0.5416596761489592,0.22273751578942574,964
SAI,240.0,0.40451110787501815,0.22840145082937424,1033
SAI,250.0,0.39327468821182626,0.20922138316717373,739
SAI,260.0,0.35394721939064544,0.1578043606288231,696
SAI,270.0,0.3033833309062649,0.1421083208533622,797
SAI,280.0,0.23596481292709495,0.11845335993450028,943
SAI,290.0,0.1769736096953182,0.10534824855560963,679
SAI,300.0,0.14157888775625818,0.09031563269605124,295
SAI,310.0,0.20225555393751166,0.09509345014489827,51
SAI,320.0,0.1573098752847313,0.07183936112239196,56
